ID,Nome,Idade,Data de Registro,Salário,Ativo,ID Departamento
1,Sra. Isabela Vasconcelos,44,2022-02-11,4435.13,True,4
2,Heitor Teixeira,40,2022-01-17,7834.97,False,2
3,Bianca Vasconcelos,44,2022-10-28,3094.55,False,2
4,Alice Machado,40,2023-10-10,6287.2,True,2
5,Antônio Fernandes,54,2023-08-09,7138.43,True,4
6,Henry Gabriel da Mata,42,2024-01-26,4941.62,False,4
7,Sra. Maria Luiza Oliveira,58,2024-08-24,7111.25,True,5
8,Isis Marques,24,2023-02-05,8438.66,True,1
9,Sr. Vitor da Rosa,61,2024-03-25,2363.85,False,1
10,Théo Cardoso,54,2022-09-05,8029.65,True,2
11,Marcelo Rodrigues,57,2024-02-06,8109.35,True,1
12,Maria Clara Santos,39,2023-10-21,2601.68,True,4
13,Sofia Rios,45,2023-05-19,4990.01,False,1
14,Benicio das Neves,22,2022-04-15,2541.54,True,5
15,Levi Silveira,42,2024-02-10,9261.98,True,5
16,Maria Fernanda Rezende,29,2023-11-18,7436.21,False,3
17,Thomas Casa Grande,33,2024-03-29,8205.9,False,2
18,Davi Miguel Ribeiro,48,2022-07-10,2625.01,False,5
19,Dr. Mathias Montenegro,20,2023-08-17,9566.83,False,4
20,Samuel Gonçalves,21,2023-10-03,3884.99,True,3
